,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,行政區,區域,品牌
6016,22853565,來來超商股份有限公司,53018768,第七一四分公司,雲林縣西螺鎮建興路2號1樓,1,雲林縣,中,OK
6017,22853565,來來超商股份有限公司,53018900,第六二三分公司,新北市中和區華新街143巷11弄2號1樓,1,新北市,北,OK
6018,22853565,來來超商股份有限公司,53018916,第八八四分公司,臺中市西區向上南路1段129號1樓,1,臺中市,中,OK
6019,22853565,來來超商股份有限公司,53019540,第七O九分公司,宜蘭縣五結鄉五結中路二段361巷1號1樓,1,宜蘭縣,北,OK
6020,22853565,來來超商股份有限公司,53019598,第八O二分公司,彰化縣二水鄉員集路3段606號1樓,1,彰化縣,中,OK
6021,22853565,來來超商股份有限公司,53020407,第三九八分公司,新北市新莊區民安東路127號1樓,1,新北市,北,OK
6022,22853565,來來超商股份有限公司,53020434,第四七八分公司,基隆市七堵區明德一路104號1樓,1,基隆市,北,OK
6023,22853565,來來超商股份有限公司,53020510,第四五六分公司,新北市五股區御成路75、77號1樓,1,新北市,北,OK
6024,22853565,來來超商股份有限公司,53022600,第一三一分公司,桃園市中壢區復華街50號1樓,1,桃園市,北,OK
6025,22853565,來來超商股份有限公司,53022616,第三一四分公司,臺中市東區建成路675號1樓,1,臺中市,中,OK
6026,22853565,來來超商股份有限公司,53022658,第一二四分公司,桃園市平鎮區延平路3段6之1號1樓,1,桃園市,北,OK
6027,22853565,來來超商股份有限公司,53023592,第一０六二分公司,桃園市龍潭區中興路390號1樓,1,桃園市,北,OK
6028,22853565,來來超商股份有限公司,53024810,第九五八分公司,基隆市中正區中船路134號1樓,1,基隆市,北,OK
6029,22853565,來來超商股份有限公司,53024826,第一00九分公司,彰化縣和美鎮彰美路3段438號1樓,1,彰化縣,中,OK
6030,22853565,來來超商股份有限公司,53025043,第八三八分公司,新北市中和區員山路148巷23弄28號1樓,1,新北市,北,OK
6031,22853565,來來超商股份有限公司,53025542,第八二七分公司,臺南市東區自由路1段322號1樓,1,臺南市,南,OK
6032,22853565,來來超商股份有限公司,53025557,第八三一分公司,屏東縣屏東市棒球路92號1樓,1,屏東縣,南,OK
6033,22853565,來來超商股份有限公司,53025613,第八一七分公司,臺南市南區新孝路90號1樓,1,臺南市,南,OK
